booking_id,guest_ref,property_code,room_code,rateplan_code,channel,booking_status,checkin_date_raw,checkout_date_raw,booked_at_raw,currency,total_amount_raw,discount_raw,tax_raw,adults_raw,children_raw,special_requests,cancellation_reason,source_file,ingested_at
BK-670488,g-97197,SOUDAH_1,STE-174, flex ,Direct,CONFIRMED,Feb 03 2026,"February 08, 2026",2026-01-30T16:38:00Z,SAR,"9,126.96",0%,"SAR 1,190.47",4,2,High floor,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK-562276,G-49616,soudah-01,STE-93,FLEX,Direct,CONFIRMED,24-01-2026,28/01/26,2026-01-11T07:55:00Z,SAR,"7,187.26",0%,SAR 937.47,2,0,Extra pillows,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK-330777,g-08676,SP-01, DLX-81 ,FLEX,Travel Agent,CONFIRMED,16-04-2026,21/04/26,2026-02-03 04:15:00,SAR,8469.90,0.00,"1,104.77",4,3,Allergy: nuts,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK902593,G-89167,soudah-01,STE69,FLEX,Direct,CONFIRMED,"June 07, 2026","June 14, 2026",03-04-2026 11:16 PM,SAR,SAR 16479,0.00,SAR 2149,1,2,Extra pillows,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK594917,G-11227,SP-01,137,ADV,Travel Agent,CONFIRMED,06-04-2026,Apr 11 2026,2026/03/09 19:27 +0000,sar,9529.29,0.00,"VAT: 1,242.95",1,two,Allergy: nuts,,bookings_raw_20260301.csv,2026-03-03 07:22:42
bk-292005, G-28081 ,SP-01, DLX-148 ,ADV,Direct,CONFIRMED,2026-04-19,2026-04-23,25-02-2026 11:27 AM,SR,2506.08,0%,SR326.88,4,3,,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK-102665,G-70856,SP-01, DLX-218 ,FLEX,Direct,CONFIRMED,"January 09, 2026",Jan 13 2026,08-01-2026 05:24 AM,SAR,8381.77,0.00,VAT: 1093.27,4,,Allergy: nuts,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK-084003,g-08982,SP01,31, flex ,Direct,CONFIRMED,01-06-2026,Jun 04 2026,26-03-2026 06:36 PM,SR,VAT: 2785.71,0.00,363.35,2,2,High floor,,bookings_raw_20260301.csv,2026-03-03 07:22:42
bk-387478,G-57434,soudah-01,STE-207,ADV,OTA - Booking,CANCEL,29/01/26,30-01-2026,14-01-2026 04:16 AM,sar,830.34,0%,108.31,2,3,High floor,weather,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK-010140,G90574,SOUDAH_1, STE-150 ,FLEX,Direct,CANCELLED,"May 28, 2026",30/05/26,2026-04-12 01:57:00,SAR,"3,719.41",0%,SAR 485.14,4,1, airport pickup ,family emergency,bookings_raw_20260301.csv,2026-03-03 07:22:42
