payment_id,booking_id,paid_at_raw,payment_method,payment_status,amount_raw,fee_raw,refund_amount_raw,gateway_ref,notes,source_file,ingested_at
PAY424982,bk-494134,2026/02/10 07:49 +0000,Card,SUCCESS,"sar 1,965.87",49.34,,STRIPE_SAJL9JPSP8H4,partial payment,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY077512, BK-394483 ,12-01-2026 11:00 AM,VISA,SUCCESS,SAR 693.71,SAR 11.32,0,STRIPE_M4A2K7Y9A74L,partial payment,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-464605,BK715391,2026-02-09T02:36:00Z,VISA,PENDING,710.12,7.04,,STRIPE_S4RV1OEID3WR,partial payment,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY967499,bk-751512,2026-04-09T17:29:00Z,Card,SUCCESS,1626.57,SAR 39.40,"1,190.87",STRIPE_EE3M5PQ034CB,partial payment,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-021969,bk-751512,2026-04-09T17:46:00Z,MASTERCARD,FAILED,454.15,3.9%,0,STRIPE_4QBI3V1DKTX7,refund initiated,payments_raw_20260301.csv,2026-03-03 07:22:42
 PAY-545145 ,BK-517987,2026/03/26 21:36,MASTERCARD,SUCCESS,"VAT: 2,014.14",19.46,0.00,STRIPE_8LTC56C4XJ85,,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-978735,bk-725955,2026/02/27 02:26,VISA,SUCCESS,201.29,7.3%,,STRIPE_6F2QWCYNEU9D,partial payment,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-234495,bk-621457,2026-04-05 10:25:00,VISA,SUCCESS,"1,355.38",20.73,0.00,STRIPE_5YNPI0RB8XSO,refund initiated,payments_raw_20260301.csv,2026-03-03 07:22:42
pay-151842,bk-621457,2026-04-05T10:42:00Z,cash,SUCCESS,371.49,10.06,,STRIPE_GRKLFD0NZXA7,partial payment,payments_raw_20260301.csv,2026-03-03 07:22:42
 PAY-582730 ,BK-416904,2026-01-29 08:08:00,MASTERCARD,SUCCESS,507.30,2.0%,0,NA,advance,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-656066, bk-003238 ,2026/01/26 12:48,cash,FAILED,140.64,26.24,0.00,STRIPE_9IPMTB4WZ1EP,,payments_raw_20260301.csv,2026-03-03 07:22:42
pay-914729,bk-003238,2026-01-26 13:05:00,VISA,SUCCESS,"1,028.63",2.5%,SAR945.29,STRIPE_UPEJQWA3WSW1,advance,payments_raw_20260301.csv,2026-03-03 07:22:42
pay-206359, BK547107 ,2026-02-05T01:08:00Z,MASTERCARD,SUCCESS,2313.28,1.1%,0.00,,,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-414548,  BK-007211  ,2026/04/25 00:13,MASTERCARD,PENDING,"SAR 1,647.80",1.3%,,NULL,partial payment,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-298338, BK-007211 ,2026/04/25 00:30,VISA,SUCCESS,SAR707.27,25.58,0,STRIPE_HE1MOHBM1PEE,refund initiated,payments_raw_20260301.csv,2026-03-03 07:22:42
 PAY-120153 ,BK-226123,30-04-2026 05:08 AM,cash,SUCCESS,1300.42,21.18,0,STRIPE_RS6DGLQ2MDEE,partial payment,payments_raw_20260301.csv,2026-03-03 07:22:42
pay-150552,BK-722712,2026/03/27 11:06 +0530,MASTERCARD,SUCCESS,483.31,SAR 10.31,0,STRIPE_71SMSGB52ZUI,,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-381041,bk-556838,2026/05/12 12:41,cash,SUCCESS,"2,077.56",SAR 16.03,,STRIPE_VT0QKQE5K6WX,refund initiated,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY182196,BK-512810,2026-05-18T23:13:00Z,Card,SUCCESS,SAR 774.11,2.6%,0.00,STRIPE_0QXERH9B382G,,payments_raw_20260301.csv,2026-03-03 07:22:42
pay-753494,BK-512810,2026/05/18 23:30,cash,SUCCESS,SAR 527.66,SAR 7.97,,STRIPE_VMZ5IOMQZC07,refund initiated,payments_raw_20260301.csv,2026-03-03 07:22:42
 PAY-700256 , BK-753430 ,16-03-2026 01:38 AM,MASTERCARD,SUCCESS,"2,175.97",SAR 56.51,0.00,NULL,partial payment,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY255035,BK111775,2026-02-19 18:39:00,VISA,SUCCESS,VAT: sar 443.65,7.97,0,STRIPE_8SXE2CZYNQKI,,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-987093,BK-127053,11-05-2026 03:00 AM,VISA,SUCCESS,2167.34,SAR 25.87,0.00,STRIPE_H5X6QOVRT88L,advance,payments_raw_20260301.csv,2026-03-03 07:22:42
pay-884378, bk-896002 ,2026-03-14 13:33:00,VISA,SUCCESS,"1,024.33",SAR 17.90,0.00,STRIPE_WYMEYFE0VV4P,refund initiated,payments_raw_20260301.csv,2026-03-03 07:22:42
 PAY-836622 ,bk-896002,14-03-2026 01:50 PM +0000,visa card,SUCCESS,SAR1816.31,2.9%,0.00,STRIPE_HCMFIUXXISK8,advance,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-945073, BK403463 ,2026-04-13 05:48:00,cash,PENDING,sar2187.84,SAR 47.20,0,STRIPE_UAUM0SU96ONM,refund initiated,payments_raw_20260301.csv,2026-03-03 07:22:42
pay-412696,bk-168462,2026-02-07T00:00:00Z,VISA,SUCCESS,1056.52,24.86,0,STRIPE_O08L00A4QBKS,,payments_raw_20260301.csv,2026-03-03 07:22:42
