txn_id,txn_time_raw,property_code,outlet_name,guest_ref,net_amount_raw,tax_amount_raw,tip_amount_raw,payment_mode,items_count_raw,line_items_raw,source_file,ingested_at
T-245563,2026-02-02 01:57:20,SP01,Summit Cafe,g-71587,SAR62.53,VAT: SAR 9,VAT: SAR14.03,CARD,5,"[{""sku"": ""SKU170"", ""qty"": 3, ""price"": 16.63}, {""sku"": ""SKU061"", ""qty"": 1, ""price"": 64.32}, {""sku"": ""SKU005"", ""qty"": 1, ""price"": 86.65}, {""sku"": ""SKU101"", ""qty"": 1, ""price"": 82.53}, {""sku"": ""SKU192"", ""qty"": 2, ""price"": 11.64}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-410755,2026-02-16T11:46:27Z,SP01,Peak Restaurant,,SAR 506.94,76.04,20.99,cash,1,,pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-453842,2026/03/31 12:25,soudah-01,Spa Lounge,G-42899,43.02,SAR 6,VAT: SAR 29,Card,4,"[{""sku"": ""SKU133"", ""qty"": 1, ""price"": 79.19}, {""sku"": ""SKU120"", ""qty"": 1, ""price"": 37.64}, {""sku"": ""SKU104"", ""qty"": 2, ""price"": 77.63}, {""sku"": ""SKU134"", ""qty"": 2, ""price"": 16.08}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-237040,2026-03-13 18:59:06,SP01,Spa Lounge,,322.15,48.32,,Card,4,"[{""sku"": ""SKU140"", ""qty"": 2, ""price"": 65.27}, {""sku"": ""SKU161"", ""qty"": 1, ""price"": 32.09}, {""sku"": ""SKU016"", ""qty"": 2, ""price"": 57.92}, {""sku"": ""SKU046"", ""qty"": 1, ""price"": 25.61}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-470815,2026-02-25 17:04:07 GMT,SP01,Summit Cafe,NA,sar 152.79,sar22.92,,cash,2,"[{""sku"": ""SKU047"", ""qty"": 1, ""price"": 96.72}, {""sku"": ""SKU149"", ""qty"": 1, ""price"": 55.37}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-364758,2026-02-16 18:27:26,soudah-01,Spa Lounge, G-19197 ,460.06,SAR 69,0.00,CARD,5,"[{""sku"": ""SKU020"", ""qty"": 2, ""price"": 72.08}, {""sku"": ""SKU179"", ""qty"": 1, ""price"": 25.21}, {""sku"": ""SKU078"", ""qty"": 2, ""price"": 10.99}, {""sku"": ""SKU200"", ""qty"": 3, ""price"": 25.33}, {""sku"": ""SKU097"", ""qty"": 2, ""price"": 7.21}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-780050,2026-02-27T20:21:26Z,SP01,summit café,NA,VAT: SAR 149.96,VAT: SAR22.49,SAR 24.95,cash,3,"[{""sku"": ""SKU181"", ""qty"": 3, ""price"": 83.53}, {""sku"": ""SKU101"", ""qty"": 1, ""price"": 7.19}, {""sku"": ""SKU096"", ""qty"": 1, ""price"": 114.22}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-158219,2026-03-28 06:06:56,SP-01,Peak Restaurant,,SAR 649,97.33,35.08,CARD,2,"[{""sku"": ""SKU135"", ""qty"": 3, ""price"": 7.51}, {""sku"": ""SKU146"", ""qty"": 1, ""price"": 76.9}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-026963,2026-03-10T08:52:02Z,SP01,Spa Lounge,G-91580,181.21,SAR 27.18,VAT: SAR30.88,Apple Pay,4,"[{""sku"": ""SKU119"", ""qty"": 3, ""price"": 104.15}, {""sku"": ""SKU134"", ""qty"": 1, ""price"": 36.75}, {""sku"": ""SKU147"", ""qty"": 1, ""price"": 71.58}, {""sku"": ""SKU060"", ""qty"": 2, ""price"": 90.58}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-471908,2026-03-27 11:01:37 GMT,SOUDAH_1,Peak Restaurant,G-63202,VAT: 846.83,SAR127.03,3.28,CARD,3,"[{""sku"": ""SKU050"", ""qty"": 2, ""price"": 6.36}, {""sku"": ""SKU091"", ""qty"": 2, ""price"": 69.85}, {""sku"": ""SKU015"", ""qty"": 3, ""price"": 19.45}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
